reino,filo,clase,orden,familia,genero,especie,latitud,longitud,fecha,mes,anio,total_individuos,cluster_dbscan,clusterkmean,clusterkmean_amb
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.720174,-79.43815,1992-11-29,11,1992,3,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,NA,sylvatica,-2.723147222,-79.619125,1986-07-01,7,1986,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,NA,sylvatica,-2.723147222,-79.619125,1991-09-01,9,1991,5,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,NA,infraguttatus,-2.723147222,-79.619125,1992-09-01,9,1992,17,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.723283,-78.85,2007-10-21,10,2007,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.723656,-79.744797,2020-07-31,7,2020,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,trivittata,-2.729722,-69.722222,2013-10-05,10,2013,2,0,6,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.73505,-79.62734,2018-02-24,2,2018,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.73609,-79.08013,1978-04-20,4,1978,18,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.7365,-79.62482,2018-02-24,2,2018,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,infraguttatus,-2.736621,-79.622266,2019-01-05,1,2019,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,hahneli,-2.741338,-72.962502,2024-07-02,7,2024,1,9,6,3
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.74345,-79.68249,2018-07-13,7,2018,30,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.74345,-79.68249,2018-07-14,7,2018,7,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.74345,-79.68249,2019-08-22,8,2019,14,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.743992,-78.30399,2001-03-20,3,2001,3,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.744899,-78.30673,2004-04-22,4,2004,3,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.7449,-78.306733,2004-04-23,4,2004,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.745705,-79.65714,2017-06-26,6,2017,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.746892,-78.302781,2012-12-14,12,2012,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.756444,-78.27394,2004-01-01,1,2004,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.766667,-78.85,1970-06-08,6,1970,15,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.766667,-78.35,1990-04-21,4,1990,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.766999,-79.51699,1992-11-29,11,1992,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.779501,-77.48196,2012-05-15,5,2012,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.79267,-79.64523,2018-03-23,3,2018,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.798,-78.652,2008-09-09,9,2008,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.798,-78.652,2008-09-23,9,2008,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.798,-78.652,2008-01-01,1,2008,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.8,-78.6167,1962-08-04,8,1962,37,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.8,-78.5897,1962-08-05,8,1962,1,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.804783,-78.6714,2004-01-04,1,2004,3,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.804783,-78.6714,2007-09-18,9,2007,1,1,8,5
