grupo_geografico,latitud,longitud,total_individuos,fecha,anio,mes,especie,reino,filo,clase,orden,familia,genero
121,-3.5219515,-79.7312705,6,2015-03-30,2015,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
122,-3.525158,-79.826017,1,2023-07-06,2023,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
123,-3.526186,-79.433243,1,2025-03-24,2025,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
124,-3.526416,-79.71472,3,2008-01-11,2008,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
125,-3.526809,-79.95991,1,2015-10-15,2015,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
126,-3.527032,-79.883298,1,2006-05-25,2006,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
127,-3.529181,-79.787313,1,2020-05-20,2020,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
128,-3.530473,-79.87076,1,1995-10-20,1995,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
129,-3.534133,-79.610101,1,2020-11-03,2020,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
130,-3.535699,-80.06713,9,2003-03-26,2003,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
131,-3.542937,-79.9128,1,2004-04-29,2004,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
132,-3.548397,-79.788111,1,2024-02-19,2024,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
133,-3.551133,-79.986743,1,2023-03-02,2023,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
134,-3.555527,-79.804929,1,2017-10-07,2017,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
135,-3.565102,-79.74954450000001,2,2002-10-20,2002,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
136,-3.579873,-79.92201499999999,3,2014-03-02,2014,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
137,-3.5793805555000002,-79.936144445,3,1993-02-01,1993,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
138,-3.580683333333333,-79.68576,83,2014-07-15,2014,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
139,-3.58272,-79.67191,25,2012-03-19,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
140,-3.583336,-79.761546,1,2021-05-05,2021,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
141,-3.590833,-79.943018,1,2022-11-30,2022,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
142,-3.595324,-79.737417,1,2023-02-19,2023,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
143,-3.601776,-79.775904,1,2021-09-04,2021,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
144,-3.602564,-79.641042,1,2023-04-09,2023,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
145,-3.604594,-79.731928,1,2006-11-09,2006,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
146,-3.613839,-79.7986835,3,2023-05-18,2023,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
147,-3.617049,-79.63565,1,2008-04-26,2008,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
148,-3.618733,-79.921447,1,2023-08-09,2023,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
149,-3.628547,-79.759341,1,2022-03-07,2022,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
150,-3.62868,-79.67808,5,2012-04-18,2012,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
151,-3.6328695,-79.708745,2,2021-09-04,2021,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
152,-3.631881,-79.625027,1,2014-06-17,2014,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
153,-3.631898,-79.792507,1,2014-06-17,2014,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
154,-3.6325255,-79.610946,2,2021-10-29,2021,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
155,-3.6373805,-79.750855,2,2023-10-16,2023,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
156,-3.6419255,-79.54379,7,2014-06-18,2014,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
157,-3.643536,-79.761801,1,2024-08-09,2024,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
158,-3.6486816666666666,-79.75051433333333,7,2022-03-09,2022,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
159,-3.646424,-79.730915,1,2011-06-12,2011,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
160,-3.648074,-79.692787,1,2017-10-04,2017,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
161,-3.648463,-79.647129,1,2017-02-07,2017,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
162,-3.652348,-79.6092565,2,2023-06-24,2023,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
163,-3.6540792000000004,-79.7700992,13,2023-11-19,2023,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
164,-3.652216,-79.789641,1,2022-11-13,2022,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
165,-3.654458,-79.63822,1,2014-01-08,2014,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
166,-3.659089333333333,-79.74119822222222,32,2016-01-12,2016,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
167,-3.65494,-79.674387,1,2021-02-03,2021,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
168,-3.65577,-79.80227500000001,7,1975-08-28,1975,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
169,-3.660430857142857,-79.78012457142857,149,1975-08-28,1975,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
170,-3.6640864,-79.740914,14,2001-09-30,2001,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
171,-3.664536,-79.723923,1,2024-08-10,2024,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
172,-3.665907,-79.66308,1,2018-12-03,2018,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
173,-3.668185,-79.645372,1,2024-08-09,2024,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
174,-3.66992,-79.701482,1,2020-02-24,2020,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
175,-3.67106,-80.10645,6,2012-06-06,2012,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
176,-3.672687,-79.670228,1,2022-04-02,2022,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
177,-3.675282,-79.627287,1,2022-04-02,2022,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
178,-3.6810115000000003,-79.679655,2,2023-11-19,2023,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
179,-3.685697,-79.696233,1,2007-12-30,2007,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
180,-3.6904165,-79.775813,2,2024-01-17,2024,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
181,-3.6878,-79.791455,1,2014-06-18,2014,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
182,-3.692159,-79.64169,1,2019-11-29,2019,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
183,-3.694249,-79.84699,1,2015-10-14,2015,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
